"barcode","trip_id","pickup_customer_ref","delivery_customer_ref","category","weight"
"100010094","73613","101","10","A","1826"
"100392915","73923","297","274","A","2962"
"100405976","73131","184","225","A","3094"
"100425433","74092","217","109","A","2580"
"100534732","74014","218","287","A","1774"
"100684840","73192","89","278","A","350"
"100710763","73034","189","264","A","1756"
"100720210","73429","173","144","A","3089"
"100819799","73441","193","46","A","3609"
"100925397","73409","130","184","A","1327"
"100958983","73242","141","284","A","1555"
"100968857","73208","135","199","A","3587"
"101065471","73160","105","122","A","3795"
"101078652","73237","278","45","A","2442"
"101288297","73639","111","199","A","3138"
"101438117","73401","167","234","A","821"
"101441482","72962","196","268","A","4313"
"101475521","73891","50","33","A","4087"
"101483346","73638","11","48","A","1400"
"101502673","73335","56","173","A","2359"
"101583106","74026","75","42","A","4872"
"101599516","73882","25","194","A","126"
"101746269","73749","154","297","A","4232"
"101752344","73274","160","282","A","4976"
"101768410","73210","249","153","A","846"
"101771890","73866","238","99","A","1497"
"101786304","73938","9","106","A","2542"
"101870171","73119","183","135","A","685"
"101895227","73656","77","276","A","1057"
"101902559","73465","145","270","A","3053"
"101943565","73825","71","32","A","3759"
"102025680","73632","149","186","A","784"
"102025806","73963","129","195","A","2095"
"102257486","73573","227","201","A","1410"
"102364721","73377","69","143","A","2121"
"102394747","73145","114","64","A","3380"
"102425054","73529","157","143","A","3578"
"102448618","73150","222","167","A","772"
"102660826","73200","230","300","A","3577"
"102760320","74021","59","69","A","4552"
"102780481","73429","295","233","A","3075"
"102783414","73412","76","89","A","1802"
"102954187","72956","291","256","A","3102"
"103028194","73316","22","141","A","2212"
"103146993","73822","168","95","A","2011"
"103400965","73619","128","205","A","2937"
"103489866","73070","148","84","A","3481"
"103568436","73647","172","300","A","3651"
"103569507","73666","291","165","A","1672"
"103575997","73489","163","266","A","1062"
"103629259","73403","103","241","B","3374"
"103643461","73268","43","95","A","3353"
"103681440","73294","81","270","A","3613"
"103791291","73145","201","12","A","1097"
"103795749","73987","130","146","A","2071"
"103892459","73708","72","16","A","3906"
"103924538","73437","67","36","A","4607"
"103958086","73371","19","258","A","3923"
"104032311","73492","188","289","A","4865"
"104096524","73613","101","10","A","4387"
"104102569","73388","197","153","A","2203"
"104121676","73641","292","4","A","4204"
"104145230","73907","269","295","A","4119"
"104145758","73220","211","89","A","2969"
"104299559","73383","269","260","A","1364"
"104398787","73794","80","239","A","107"
"104601490","73058","155","53","A","3457"
"104760428","74081","4","112","A","2059"
"104767978","73370","220","13","A","1222"
"104811207","73417","12","112","A","4839"
"104815376","73664","251","161","A","4706"
"104824198","73884","129","144","A","4572"
"104864053","73685","81","150","A","450"
"104972321","72989","243","117","A","3316"
"105010350","74046","17","135","A","2816"
"105016300","72973","238","215","A","1649"
"105056555","73292","175","291","A","2784"
"105086744","74037","126","80","A","4367"
"105108216","73654","248","221","A","3060"
"105213833","73036","53","78","A","4541"
"105214093","73343","59","12","A","474"
"105256515","73323","4","147","A","1530"
"105336317","73458","83","6","A","3601"
"105385705","73572","280","261","A","2362"
"105412943","73275","84","102","A","2895"
"105438070","73210","27","277","A","3820"
"105482110","73911","296","55","A","3597"
"105488968","74100","206","174","A","3363"
"105546167","73483","215","136","A","149"
"105556433","73101","39","97","A","2866"
"105571928","73582","227","184","A","958"
"105650883","73564","193","164","A","2055"
"105674079","73101","106","52","A","4832"
"105700212","73739","88","174","A","2151"
"106000619","73811","37","102","A","3266"
"106050862","73527","27","300","A","2675"
"106084508","73617","280","194","A","3609"
"106085579","74084","48","86","A","3536"
"106111597","73193","289","17","A","3093"
"106141154","73491","94","131","A","4355"
"106229602","73203","287","209","A","3968"
"106343014","73175","187","248","A","4926"
"106357746","73892","19","32","A","762"
"106359660","73128","114","64","A","2007"
"106565857","73423","160","60","A","4182"
"106667421","74025","68","288","A","2062"
"106730192","73790","259","95","A","2749"
"106799966","73446","287","241","A","263"
"106833124","74007","80","54","A","4332"
"106864581","73141","150","70","A","1964"
"106893269","73619","205","213","A","668"
"106929777","74036","100","213","A","1549"
"106941227","74106","233","37","A","1457"
"107067032","73549","174","72","A","1884"
"107100111","73341","131","54","A","3562"
"107131096","73365","94","6","A","126"
"107143360","74033","70","145","A","1746"
"107206880","73929","288","171","A","3084"
"107280229","73516","112","62","A","3020"
"107309768","73798","299","166","A","3857"
"107467289","73807","196","118","A","3151"
"107488783","72996","157","89","A","4372"
"107495191","73885","148","253","A","2454"
"107513974","73670","256","254","A","2199"
"107590045","73081","246","258","A","1951"
"107715489","73208","199","95","A","1569"
"107761622","74015","251","257","A","1236"
"107762608","73437","67","36","A","323"
"107767906","73606","66","57","A","3004"
"107780051","73695","298","219","A","2328"
"107799801","73753","97","37","A","1360"
"107823795","73076","9","79","A","4017"
"107849235","73942","58","189","A","1811"
"107945898","73047","119","184","A","4715"
"108036405","73293","192","38","A","3419"
"108059095","73072","151","172","A","4153"
"108119309","73461","30","262","A","838"
"108263767","73210","277","27","A","3581"
"108339581","73627","22","283","A","1127"
"108347318","73328","178","234","A","4594"
"108406262","74044","128","229","A","1418"
"108409578","73571","264","214","A","4856"
"108501397","73843","259","220","A","4560"
"108528431","73747","153","175","A","1406"
"108575239","73164","159","142","A","4616"
"108583623","73237","278","255","A","3697"
"108596975","73306","117","5","A","1125"
"108608044","73013","82","140","C","1181"
"108669605","73455","158","270","A","3290"
"108681242","73525","66","124","A","880"
"108688108","73063","25","291","A","658"
"108833366","73327","294","11","A","3325"
"108861774","74079","79","111","A","858"
"108980983","73474","3","104","A","1645"
"109078623","73400","4","35","A","4615"
"109093597","73877","59","91","A","835"
